time_s,target_angle_deg,current_angle_deg,resistance_torque_Nm
3.92,35.45968005350755,33.430886025435754,2.222743943385403
3.93,34.907815757277845,32.88611009642563,2.257433412316471
3.94,34.35754513393238,32.34290307438012,2.2882098169447267
3.95,33.80895507758153,31.80135193993879,2.3147802423104307
3.96,33.26213221695467,31.261543408057914,2.3368871764583705
3.97,32.71716290172035,30.723563914331656,2.3543123838910764
3.98,32.174133188851094,30.18749960135793,2.3668802050523174
3.99,31.633128829033442,29.653436305149523,2.374460212236017
4.0,31.094235253127376,29.121459541594525,2.3769691656232697
4.01,30.557537558675577,28.591654492966658,2.3743722279933084
4.0200000000000005,30.023120496465598,28.06410599448847,2.366683412633236
4.03,29.491068457146728,27.538898520949246,2.353965255648156
4.04,28.96146545790371,27.016116173379746,2.3363277207867643
4.05,28.434395129189515,26.495842665786,2.3139263615782357
4.0600000000000005,27.909940701518934,25.978161311943957,2.286959781562863
4.07,27.388184992325865,25.46315501225774,2.255666448253687
4.08,26.86921039288519,24.950906240682592,2.220320929789188
4.09,26.353098855302218,24.441497031715294,2.181229634679566
4.1,25.839931879571772,23.935008967454277,2.1387261443244534
4.11,25.329790500708015,23.431523164730454,2.0931662348726703
4.12,24.82275527594854,22.93112026231231,2.0449226893660364
4.13,24.318906272033068,22.433880408185594,1.9943800029001422
4.14,23.818323052560054,21.93988324691093,1.941929082766568
4.15,23.321084665422795,21.449207907060917,1.8879620423106644
4.16,22.82726963032689,20.961932988738553,1.8328671817164133
4.17,22.336955926390768,20.478136551178793,1.7770242413472264
4.18,21.850220979832248,19.99789610043604,1.720800003915381
4.19,21.367141651741694,19.52128857715832,1.6645443109503706
4.2,20.887794225945147,19.048390344451356,1.6085865471455625
4.21,20.412254396957916,18.57927717583316,1.5532326335559041
4.22,19.940597258031556,18.114024243281953,1.498762557673948
4.23,19.472897289295943,17.652706105379224,1.4454284554934538
4.24,19.009228345997972,17.19539669554937,1.3934532481258137
4.25,18.54966364683872,16.742169310397834,1.3430298236787765
4.26,18.09427576241165,16.293096598150257,1.2943207442151135
4.2700000000000005,17.643136603742757,15.848250547193569,1.247458447909469
4.28,17.19631741093495,15.407702474721328,1.2025459081936904
4.29,16.75388874191847,14.97152301548508,1.1596577048495185
4.3,16.31592046130898,14.539782110653386,1.1188414567453726
4.3100000000000005,15.88248172937499,14.112548996780182,1.0801195622410673
4.32,15.453640991116941,13.689892194884814,1.0434911911735107
4.33,15.029465965458686,13.271879499644427,1.0089344717156905
4.34,14.610023634553905,12.858577968701333,0.9764088161619494
4.3500000000000005,14.195380233208983,12.450053912086787,0.9458573316939538
4.36,13.785601238423773,12.046372881762693,0.9172092652603958
4.37,13.380751359051782,11.647599661282701,0.8903824356787157
4.38,12.98089452558218,11.253798255575125,0.8652856107500124
4.39,12.586093880044203,10.865031880848269,0.8418207923770755
4.4,12.196411766036466,10.481362954620643,0.8198853782033446
4.41,11.811909718882184,10.102853085877083,0.7993741739699969
4.42,11.43264845591181,9.729563065352306,0.7801812364563603
4.43,11.058687866875356,9.361552855944115,0.7622015323806919
4.44,10.690087004484845,8.998881583256761,0.7453324038695437
4.45,10.326904075089478,8.641607526276992,0.7294748359527465
4.46,9.969196429483965,8.28978810818328,0.7145345259281548
4.47,9.617020553852164,7.943479887290342,0.7004227583095222
4.48,9.270432060847398,7.602738548130345,0.6870570923873598
4.49,8.929485680810561,7.2676188926718925,0.6743618721819189
4.5,8.59423525312737,6.938174831678148,0.662268570752914
4.51,8.264733717726727,6.6144593762060815,0.6507159824713077
4.5200000000000005,7.941033106720765,6.296524629247374,0.6396502779862656
4.53,7.62318453618843,5.984421777512879,0.6290249372774057
4.54,7.311238198103616,5.6782010833616186,0.6188005764181336
4.55,7.0052433524093365,5.377911876875816,0.6089446835446656
4.5600000000000005,6.705248319238858,5.083602548082888,0.5994312790838671
4.57,6.411300471285636,4.795320539326243,0.5902405145986762
4.58,6.123446226322418,4.513112337785225,0.5813582237179675
4.59,5.841731039871349,4.237023468146085,0.5727754375810511
4.6000000000000005,5.566199398026119,3.967098485424963,0.5644878760938438
4.61,5.296894810427102,3.7033809679438776,0.5564954251075184
4.62,5.033859803390493,3.445913510460702,0.5488016084289268
4.63,4.77713591319314,3.194737717454837,0.5414130623871883
4.64,4.526763679513311,2.9498941965688097,0.5343390195386472
4.65,4.282782639029114,2.7114225522075293,0.5275908070132559
4.66,4.0452313191752,2.4793613792958187,0.5211813640043754
4.67,3.814147232058711,2.253748257195187,0.5151247819910998
4.68,3.5895668685358526,2.034619743781231,0.5094358704632915
4.69,3.371525692449388,1.822011369681946,0.5041297501965853
4.7,3.1600581350286845,1.6159576326785907,0.49922147549656193
4.71,2.955197589452469,1.4164919922692605,0.4947256862945415
4.72,2.756976405575677,1.2236468643965466,0.49065629052641424
4.73,2.5654258848210914,1.037453616339985,0.4870261768536745
4.74,2.3805762752365145,0.8579425617740357,0.48384695748458956
4.75,2.202456766718091,0.6851429559922086,0.48112874061477906
4.76,2.031095486401067,0.5190829912986259,0.47887993182212646
4.7700000000000005,1.8665194942180874,0.3597897925671141,0.47710706361246713
4.78,1.7087547786261332,0.20728941296894088,0.47581465221219166
4.79,1.5578262525026754,0.06160682986975807,0.4750050806343683
4.8,1.4137577492116065,-0.07723405910367331,0.47467850699970765
4.8100000000000005,1.276572018839666,-0.2092104398262733,0.4748327970667904
4.82,1.1462907246040244,-0.33430058526627304,0.4754634799124293
4.83,1.0229344394312982,-0.45248385890541876,0.4765637256985855
4.84,0.9065226427088913,-0.5637407179868499,0.4781243444633968
4.8500000000000005,0.7970737172090026,-0.6680527165903172,0.4801338048778445
4.86,0.6946049461857551,-0.7654025085342793,0.4825782719142229
4.87,0.5991325106459333,-0.8557738501043939,0.4854416623763729
4.88,0.5106714867938722,-0.9391516026078606,0.4887057172435003
4.89,0.42923584365069656,-1.0155217347534173,0.4923500897787937
4.9,0.3548384408484956,-1.084871324856402,0.4963524483506449
4.91,0.2874910265996222,-1.1471885628686929,0.5006885929081868
4.92,0.22720423584149219,-1.202462752233152,0.5053325840443353
4.93,0.17398758855724228,-1.250684311562214,0.5102568835689677
4.94,0.12784948827237297,-1.2918447761404868,0.5154325055029608
4.95,0.08879722072777985,-1.3259367992509765,0.5208291763910581
4.96,0.05683695272921396,-1.352954153324875,0.5264155038187542
4.97,0.031973731173485787,-1.3728917309146151,0.5321591520061956
4.98,0.014211482251502705,-1.3857455454900882,0.5380270233412056
4.99,0.0035530108282749717,-1.3915127320579033,0.5439854447046588
5.0,0.0,-1.3901915476035611,0.5500003574350746
5.01,0.0035530108282749717,-1.381781371356512,0.5560375097761208
5.0200000000000005,0.014211482251502705,-1.3662827048780153,0.562062650651144
5.03,0.031973731173485787,-1.3436971719718196,0.5680417236133346
5.04,0.05683695272921396,-1.3140275184176455,0.5739410598290438
5.05,0.08879722072777985,-1.2772776115275475,0.5797275689653302
5.0600000000000005,0.12784948827237297,-1.2334524395252005,0.5853689268713566
5.07,0.17398758855724228,-1.1825581107482166,0.5908337589667723
5.08,0.22720423584149219,-1.1246018526736328,0.5960918182789504
5.09,0.2874910265996222,-1.0595920107666572,0.6011141571047813
5.1000000000000005,0.3548384408485006,-0.9875380471529862,0.6058732913117095
5.11,0.42923584365069656,-0.9084505391147631,0.610343356336728
5.12,0.5106714867938722,-0.8223411774104774,0.6145002539909288
5.13,0.5991325106459333,-0.7292227644191118,0.6183217892308301
5.14,0.6946049461857551,-0.6291092121087167,0.6217877961157673
5.15,0.7970737172090125,-0.522015539829878,0.6248802522329205
5.16,0.9065226427088863,-0.40795787193431765,0.6275833809377293
5.17,1.0229344394312934,-0.286953435218966,0.6298837408271707
5.18,1.1462907246040195,-0.15902055619614042,0.6317703019363194
5.19,1.2765720188396712,-0.024178658189901725,0.6332345082243319
5.2,1.4137577492116016,0.11755174174055516,0.6342703259941431
5.21,1.5578262525026654,0.2661490360503451,0.6348742779702506
5.22,1.7087547786261281,0.4215905301304794,0.6350454628405895
5.23,1.8665194942180925,0.5838524459009755,0.634785560151201
5.24,2.031095486401062,0.7529099255750946,0.6340988205256879
5.25,2.202456766718086,0.928737035594164,0.632992041264906
5.26,2.3805762752365043,1.111306770731993,0.6314745274654456
5.2700000000000005,2.5654258848210967,1.3005910583686942,0.6295580388777778
5.28,2.7569764055756667,1.4965607629329312,0.6272567228059925
5.29,2.955197589452459,1.6991856905120066,0.6245870334303855
5.3,3.1600581350286743,1.9084345936290361,0.6215676380113146
5.3100000000000005,3.371525692449393,2.1242751761865355,0.6182193105073003
5.32,3.589566868535843,2.3466740985753445,0.6145648132118603
5.33,3.814147232058706,2.5755969829485923,0.610628767081661
5.34,4.0452313191751905,2.811008418659421,0.6064375114928318
5.3500000000000005,4.282782639029134,3.0528719678617433,0.602018954222349
5.36,4.5267636795133015,3.301150171273188,0.5974024125069697
5.37,4.77713591319313,3.555804554099491,0.5926184460828557
5.38,5.033859803390484,3.8167956321188967,0.5876986831546485
5.39,5.2968948104270925,4.08408291792624,0.5826756402828808
5.4,5.566199398026149,4.357624927335182,0.5775825372132128
5.41,5.841731039871339,4.637379185937878,0.5724531076997004
5.42,6.123446226322403,4.9233022358211755,0.5673214073970594
5.43,6.411300471285626,5.215349642437742,0.5622216199135833
5.44,6.705248319238867,5.513476001631717,0.5571878621267715
5.45,7.005243352409321,5.81763494681711,0.5522539898679649
5.46,7.311238198103606,6.127779156308515,0.5474534050801536
5.47,7.623184536188415,6.443860360802382,0.5428188655447711
5.48,7.9410331067207744,6.765829351007904,0.538382298258692
5.49,8.264733717726713,7.093635985426301,0.5341746175218955
5.5,8.59423525312736,7.427229198277541,0.5302255487695117
5.51,8.92948568081055,7.766557007572559,0.5265634591493065
5.5200000000000005,9.270432060847408,8.111566523330454,0.5232151958073542
5.53,9.617020553852148,8.462203955938906,0.5202059328008317
5.54,9.969196429483949,8.81841462465665,0.5175590275078501
5.55,10.326904075089468,9.180142966256616,0.5152958873502913
5.5600000000000005,10.690087004484855,9.547332543808526,0.513435847586995
5.57,11.05868786687534,9.919926055599099,0.5119960608717585
5.58,11.432648455911796,10.297865344189214,0.510991399203747
5.59,11.811909718882168,10.681091405605937,0.510434368827509
5.6000000000000005,12.196411766036505,11.069544398668144,0.5103350385662012
5.61,12.586093880044189,11.463163654444358,0.5107009819953039
5.62,12.980894525582164,11.861887685841557,0.5115372337854601
5.63,13.380751359051766,12.265654197322602,0.5128462604625623
5.64,13.785601238423759,12.674400094751862,0.5146279457512923
5.65,14.195380233209022,13.088061495366487,0.5168795905854491
5.66,14.610023634553889,13.50657373787233,0.5195959277850647
5.67,15.02946596545867,13.929871392663054,0.5227691513169707
5.68,15.453640991116927,14.357888272159986,0.5263889599726075
5.69,15.882481729375005,14.790557441272231,0.5304426152149498
5.7,16.315920461308966,15.227811227974172,0.534915012865916
5.71,16.753888741918455,15.669581233999928,0.5397887682269773
5.72,17.19631741093493,16.115798345652138,0.5450443141493555
5.73,17.64313660374277,16.56639274472365,0.5506600114966262
5.74,18.094275762411637,17.021293919530454,0.5566122713721069
5.75,18.5496636468387,17.480430676054453,0.5628756884165946
5.76,19.00922834599795,17.943731149193386,0.5694231844190702
5.7700000000000005,19.472897289295958,18.411122814117086,0.5762261614244354
5.78,19.94059725803154,18.882532497727766,0.5832546634683392
5.79,20.412254396957895,19.357886390222667,0.5904775460201691
5.8,20.88779422594513,19.837110056757183,0.5978626521714587
5.8100000000000005,21.367141651741708,20.320128449206834,0.6053769945686407
